"user_id","time","position_latent"
"11857","9f8d0030-1569-11eb-90e4-ac7289d091ca","C"
"15194","a3e3b00c-1569-11eb-90e4-ac7289d091ca","A"
"9351","af9ecd8c-1569-11eb-90e4-ac7289d091ca","F"
"2237","a90a3c9a-1569-11eb-90e4-ac7289d091ca","A"
"15221","a22c5ea8-1569-11eb-90e4-ac7289d091ca","B"
"19537","a0d792a2-1569-11eb-90e4-ac7289d091ca","C"
"2406","a3b30bbe-1569-11eb-90e4-ac7289d091ca","B"
"14415","bff9e7e8-1569-11eb-90e4-ac7289d091ca","F"
"19043","c01e4b92-1569-11eb-90e4-ac7289d091ca","D"
"7291","cdf288f0-1569-11eb-90e4-ac7289d091ca","B"
"18358","b24a5182-1569-11eb-90e4-ac7289d091ca","B"
"4664","cdb5558e-1569-11eb-90e4-ac7289d091ca","A"
"16539","bd1cf7ea-1569-11eb-90e4-ac7289d091ca","C"
"7500","c69ae2d2-1569-11eb-90e4-ac7289d091ca","A"
"14138","c52c6132-1569-11eb-90e4-ac7289d091ca","A"
"12212","a59742d8-1569-11eb-90e4-ac7289d091ca","E"
"9767","bb7e4722-1569-11eb-90e4-ac7289d091ca","C"
"10777","bcf8742e-1569-11eb-90e4-ac7289d091ca","E"
"17294","bb599774-1569-11eb-90e4-ac7289d091ca","B"
"19797","bee1a418-1569-11eb-90e4-ac7289d091ca","D"
"19911","a9cebbc4-1569-11eb-90e4-ac7289d091ca","E"
"10858","bcc7f42a-1569-11eb-90e4-ac7289d091ca","B"
"3892","ab78ab9c-1569-11eb-90e4-ac7289d091ca","A"
